id,authors,original_publication_year,title,mood_tag
1,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",tense
2,"J.K. Rowling, Mary GrandPrÃ©",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",magical
3,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",thoughtful
4,Harper Lee,1960.0,To Kill a Mockingbird,thoughtful
5,F. Scott Fitzgerald,1925.0,The Great Gatsby,nostalgic
6,John Green,2012.0,The Fault in Our Stars,thoughtful
7,J.R.R. Tolkien,1937.0,The Hobbit,adventurous
8,J.D. Salinger,1951.0,The Catcher in the Rye,thoughtful
9,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",dark
10,Jane Austen,1813.0,Pride and Prejudice,thoughtful
11,Khaled Hosseini,2003.0,The Kite Runner,thoughtful
12,Veronica Roth,2011.0,"Divergent (Divergent, #1)",thoughtful
13,"George Orwell,1949.0,1984,thoughtful
14,George Orwell,1945.0,Animal Farm,thoughtful
15,"Anne Frank Eleanor Roosevelt B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,poignant
16,"Stieg Larsson Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",adventurous
17,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",tense
18,"J.K. Rowling Mary GrandPrÃ© Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",magical
19,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",adventurous
20,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",tense
21,"J.K. Rowling Mary GrandPrÃ©",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",magical
22,Alice Sebold,2002.0,The Lovely Bones,romantic
23,"J.K. Rowling Mary GrandPrÃ©",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",magical
24,"J.K. Rowling Mary GrandPrÃ©",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",magical
25,"J.K. Rowling Mary GrandPrÃ©",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",magical
26,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",thoughtful
27,"J.K. Rowling Mary GrandPrÃ©",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",magical
28,William Golding,1954.0,Lord of the Flies,nostalgic
29,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,thoughtful
30,Gillian Flynn,2012.0,Gone Girl,thoughtful
31,Kathryn Stockett,2009.0,The Help,thoughtful
32,John Steinbeck,1937.0,Of Mice and Men,thoughtful
33,Arthur Golden,1997.0,Memoirs of a Geisha,poignant
34,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",thoughtful
35,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,thoughtful
36,Lois Lowry,1993.0,"The Giver (The Giver, #1)",thoughtful
37,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",magical
38,Audrey Niffenegger,2003.0,The Time Traveler's Wife,thoughtful
39,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",thoughtful
40,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",romantic
41,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",thoughtful
42,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",thoughtful
43,"Charlotte BrontÃ«, Michael Mason",1847.0,Jane Eyre,thoughtful
44,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",romantic
45,Yann Martel,2001.0,Life of Pi,poignant
46,Sara Gruen,2006.0,Water for Elephants,thoughtful
47,Markus Zusak,2005.0,The Book Thief,thoughtful
48,Ray Bradbury,1953.0,Fahrenheit 451,thoughtful
